cycle_index,time,focus_score_ratio,full_tenengrad,full_laplacian_var,full_brenner,full_highfreq_ratio,full_local_contrast,full_edge_width,full_halo_width,full_brightness_mean,full_brightness_std,full_red_blue_ratio,full_modified_laplacian,full_dct_energy,full_smd,full_entropy,roi_tenengrad,roi_laplacian_var,roi_brenner,roi_highfreq_ratio,roi_local_contrast,roi_edge_width,roi_halo_width,roi_brightness_mean,roi_brightness_std,roi_red_blue_ratio,roi_modified_laplacian,roi_dct_energy,roi_smd,roi_entropy
163,2026-07-04 22:19:27,1.7264646452991714,24222.871441447292,42375.76732822542,1050.1511345363563,0.247620865094131,0.3486188794420842,51.0,2.0,54.46853634473911,49.05877026335264,1.958110901356393,67.23314102668203,0.15074152438902325,6.334594937209509,6.943594605025384,40190.52811111111,88438.07458581285,1831.7273545861299,0.38409622422641587,0.37130605536600053,121.0,2.0,74.34823333333334,51.720389813249135,1.5666121881673194,119.34213333333334,0.1552440818296757,10.53695094760312,6.450703555403322
164,2026-07-04 22:19:33,1.7248846813045924,23991.45462591552,42073.69650711107,1041.38288425623,0.23581102901645185,0.3313290267328686,51.0,2.0,57.403047201065334,50.07748236065625,2.013630520676279,67.21035045552722,0.13826511549848441,6.351428615464954,7.013956126821269,37271.77915555555,85339.61257216,1724.8886689038031,0.41427260499050644,0.3051456555137613,120.0,5.0,86.35347777777778,48.459550579318275,1.8819077780490112,117.42322222222222,0.1201095293969443,10.438589743589743,6.468442648267757
165,2026-07-04 22:19:38,1.723332802124728,23959.63761834776,41983.355270416294,1039.3245085908643,0.2184112733949487,0.31872991665594247,51.0,2.0,60.06602505805739,51.92480514063724,1.9694292408470924,67.13270782922196,0.1276005007054308,6.342901551630598,7.125076955647032,38650.88651111111,86901.85128590172,1776.644865771812,0.4087005669996616,0.3380427566371285,121.0,2.0,79.82548888888888,49.436495417914,1.6914555865573946,118.24022222222223,0.13864964461275298,10.494392419175028,6.51838409109162
166,2026-07-04 22:19:44,1.7233299459071054,24240.10854093249,42321.39895651728,1049.1832942712313,0.22470272113752926,0.3344092293589358,51.0,2.0,57.40452096562028,51.42320711021406,1.902752258791494,67.11125501404746,0.13724179776735834,6.323823437392152,7.069643548309589,39388.33328888889,87851.47657995061,1804.1413814317673,0.3951631362697089,0.34900167171814367,121.0,3.0,78.2692888888889,50.66446327604662,1.6272009767743583,118.76631111111111,0.14352840835421696,10.518272017837235,6.671540595189526
167,2026-07-04 22:19:49,1.6902690081249045,23518.460549393443,41531.51179170256,1024.9674429167305,0.21968421134845534,0.3100619414515772,51.0,2.0,60.595400880198774,51.48244988418621,2.031953717943195,66.77116049823798,0.12441026152548947,6.327697875948257,7.0841753337079325,35510.59108888889,83352.36425791554,1659.3366331096195,0.42784426371966533,0.27015785494090794,31.0,1.0,93.62846666666667,46.870250534901615,1.910154375140348,115.18691111111112,0.10198723566939796,10.276432552954292,6.67759253001263
168,2026-07-04 22:19:55,1.7139212155502426,23920.099698345162,42021.772502596716,1039.0041196010563,0.2365504600594556,0.3327032814319532,51.0,2.0,56.82909000113679,49.93144992684865,1.994629599519922,67.03577431508518,0.13975600450342296,6.328989438832414,6.993229558770221,38956.1526,87026.70733562026,1786.1714038031319,0.39237982076228,0.34249778432947753,121.0,2.0,78.88067777777778,50.565123421699745,1.651640603544894,118.15437777777778,0.14078770540052277,10.480546265328874,6.537632815272293
169,2026-07-04 22:20:01,1.7336935719852982,24127.120515776995,42306.282924746316,1046.3297857086873,0.24751110951801525,0.3424279245930667,51.0,2.0,55.28054610487682,49.00547588493486,1.9587780170539175,66.97279016515907,0.1477379733645308,6.305832512358599,6.977990468970346,39077.23584444445,87246.32773279952,1790.7253355704697,0.4007874717314839,0.340748459379475,38.0,1.0,79.52508888888889,50.1456539990466,1.7126690145649668,118.21117777777778,0.13994382842370742,10.469994425863991,6.551941546833232
170,2026-07-04 22:20:06,1.7311211120394223,23897.697003345405,42048.34986554038,1038.3581084254251,0.23581412227884538,0.33571500768679857,51.0,2.0,55.81962928528509,50.04628943024192,2.035450453595123,66.64202137161602,0.14186895182150025,6.286328449468023,6.934856935448827,37709.71857777778,85785.34131384888,1740.909787472036,0.41571126637215366,0.31539791439479464,38.0,1.0,83.70662222222222,48.59132931948931,1.8478162436844972,117.01804444444444,0.12705959825029178,10.395278706800447,6.289498455785596
171,2026-07-04 22:20:12,1.7419515971469919,24366.411572096724,42450.185800535,1055.3743427045856,0.24486080981894123,0.34680264658302784,51.0,2.0,55.48159519788233,49.456429561028926,1.9342385627313032,67.4858977377917,0.1474425811652958,6.368827359481957,6.9872194001451495,41288.04744444445,89499.42128591359,1872.212908277405,0.3780969053479239,0.40165220632477583,121.0,2.0,70.16633333333333,52.65491113424801,1.5097545055470933,119.92144444444445,0.17028161741014308,10.575958751393534,6.174589698895174
172,2026-07-04 22:20:17,1.7347020457585618,24123.838791269467,42234.47860993829,1044.6486943989746,0.22312862432849578,0.33543853330342793,51.0,2.0,57.351668439514754,51.47512106218317,1.9260651149422656,67.21547818178865,0.1364606747816262,6.3324071186046496,7.06961389751107,38733.63968888889,86943.67793584986,1778.89485458613,0.40145571966486826,0.335353353614291,38.0,1.0,80.27174444444445,49.95167230501923,1.7637883030273513,117.78904444444444,0.13680643125734235,10.436867335562988,6.508835884886866
