wavelength,median_filtered_y,lorentz_fit_y,residual
518.247000,1221.000000,1214.872782,6.127218
518.282000,1216.000000,1214.476665,1.523335
518.316000,1216.000000,1214.110171,1.889829
518.351000,1218.000000,1213.750607,4.249393
518.385000,1216.000000,1213.417506,2.582494
518.420000,1218.000000,1213.090293,4.909707
518.454000,1218.000000,1212.786787,5.213213
518.489000,1216.000000,1212.488286,3.511714
518.523000,1216.000000,1212.211084,3.788916
518.558000,1227.000000,1211.938135,15.061865
518.593000,1216.000000,1211.677071,4.322929
518.627000,1218.000000,1211.434223,6.565777
518.662000,1218.000000,1211.194701,6.805299
518.696000,1212.000000,1210.971651,1.028349
518.731000,1212.000000,1210.751426,1.248574
518.765000,1211.000000,1210.546134,0.453866
518.800000,1211.000000,1210.343238,0.656762
518.834000,1216.000000,1210.153913,5.846087
518.869000,1218.000000,1209.966615,8.033385
518.903000,1216.000000,1209.791679,6.208321
518.938000,1216.000000,1209.618455,6.381545
518.972000,1216.000000,1209.456517,6.543483
519.007000,1219.000000,1209.296020,9.703980
519.041000,1220.000000,1209.145849,10.854151
519.076000,1220.000000,1208.996886,11.003114
519.110000,1220.000000,1208.857390,11.142610
519.145000,1217.000000,1208.718903,8.281097
519.179000,1204.000000,1208.589111,-4.589111
519.214000,1204.000000,1208.460157,-4.460157
519.248000,1217.000000,1208.339205,8.660795
519.283000,1204.000000,1208.218942,-4.218942
519.317000,1204.000000,1208.106059,-4.106059
519.352000,1208.000000,1207.993736,0.006264
519.387000,1201.000000,1207.885178,-6.885178
519.421000,1201.000000,1207.783173,-6.783173
519.456000,1207.000000,1207.681567,-0.681567
519.490000,1208.000000,1207.586029,0.413971
