index,wavelength,median_filtered_y,lorentz_fit_y,residual
322,509.447000,1193.000000,1204.065522,-11.065522
323,509.481000,1189.000000,1204.073932,-15.073932
324,509.516000,1193.000000,1204.082466,-11.082466
325,509.551000,1193.000000,1204.091129,-11.091129
326,509.586000,1193.000000,1204.099921,-11.099921
327,509.620000,1193.000000,1204.108845,-11.108845
328,509.655000,1199.000000,1204.117906,-5.117906
329,509.690000,1199.000000,1204.127104,-5.127104
330,509.725000,1214.000000,1204.136443,9.863557
331,509.759000,1199.000000,1204.145925,-5.145925
332,509.794000,1199.000000,1204.155554,-5.155554
333,509.829000,1199.000000,1204.165333,-5.165333
334,509.864000,1212.000000,1204.175265,7.824735
335,509.898000,1193.000000,1204.185353,-11.185353
336,509.933000,1198.000000,1204.195600,-6.195600
337,509.968000,1212.000000,1204.206010,7.793990
338,510.003000,1216.000000,1204.216586,11.783414
339,510.037000,1216.000000,1204.227331,11.772669
340,510.072000,1216.000000,1204.238250,11.761750
341,510.107000,1216.000000,1204.249346,11.750654
342,510.142000,1215.000000,1204.260622,10.739378
343,510.176000,1212.000000,1204.272083,7.727917
344,510.211000,1212.000000,1204.283734,7.716266
345,510.246000,1203.000000,1204.295577,-1.295577
346,510.281000,1212.000000,1204.307617,7.692383
347,510.315000,1212.000000,1204.319859,7.680141
348,510.350000,1212.000000,1204.332307,7.667693
349,510.385000,1212.000000,1204.344966,7.655034
350,510.420000,1214.000000,1204.357840,9.642160
351,510.454000,1214.000000,1204.370935,9.629065
352,510.489000,1208.000000,1204.384255,3.615745
353,510.524000,1208.000000,1204.397806,3.602194
354,510.558000,1208.000000,1204.411593,3.588407
355,510.593000,1205.000000,1204.425622,0.574378
356,510.628000,1208.000000,1204.439898,3.560102
357,510.663000,1217.000000,1204.454426,12.545574
358,510.697000,1219.000000,1204.469214,14.530786
359,510.732000,1219.000000,1204.484267,14.515733
360,510.767000,1219.000000,1204.499591,14.500409
361,510.801000,1219.000000,1204.515193,14.484807
362,510.836000,1214.000000,1204.531080,9.468920
363,510.871000,1214.000000,1204.547259,9.452741
364,510.906000,1214.000000,1204.563736,9.436264
365,510.940000,1214.000000,1204.580520,9.419480
366,510.975000,1214.000000,1204.597617,9.402383
367,511.010000,1214.000000,1204.615037,9.384963
368,511.045000,1219.000000,1204.632785,14.367215
369,511.079000,1220.000000,1204.650872,15.349128
370,511.114000,1219.000000,1204.669306,14.330694
371,511.149000,1219.000000,1204.688095,14.311905
372,511.183000,1220.000000,1204.707249,15.292751
373,511.218000,1220.000000,1204.726778,15.273222
374,511.253000,1212.000000,1204.746690,7.253310
375,511.288000,1220.000000,1204.766996,15.233004
376,511.322000,1224.000000,1204.787706,19.212294
377,511.357000,1224.000000,1204.808832,19.191168
378,511.392000,1217.000000,1204.830384,12.169616
379,511.426000,1217.000000,1204.852373,12.147627
380,511.461000,1216.000000,1204.874813,11.125187
381,511.496000,1212.000000,1204.897714,7.102286
